loc_rowid,pl_name,hostname,hd_name,hip_name,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,M2R infered radius [Rearth],Flux Contrast alpha=0 Ag=0.5,Flux Contrast alpha=90 Ag=0.5,SpT Number,Mam Inferred SpT from Teff,Mam Inferred Teff from SpT,Sep arcsec,Sep lod,Re,SpT,StarTeff,Mam Inferred StarRad from Teff,StarRad,Teq,Giant
8,14 Her b,14 Her,HD 145675,HIP 79248,Gaia DR2 1385293808145621504,0,1,2,Radial Velocity,2002,Published Confirmed,0,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,1796.4,8.3,-8.3,0.0,2.8,,,0.0,,,,,,,,,,,,,,,,,1506.45,19.07,-19.07,0.0,4.74,0.06,-0.06,0.0,1506.45,19.07,-19.07,0.0,4.74,0.06,-0.06,0.0,Msini,0.338,0.011,-0.011,0.0,,,,,,,,,,,,,0.0,2449582.0,12.4,-12.4,0.0,22.58,1.98,-1.98,0.0,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,,5255.0,50.0,-50.0,0.0,,,,,0.9,,,0.0,0.51,0.06,-0.06,0.0,[Fe/H],4.4,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,0.0073,-0.0073,55.7363,0.022596,-0.022596,5.158,0.029,-0.029,4.803,0.016,-0.016,4.714,0.016,-0.016,,,,,,,,,,,,,,,,6.383,0.0003512,-0.0003512,2018-04-25,2004-01,2014-08-21,11.981838665353507,1.1095361121820666e-08,3.5317631358547925e-09,,4.722567235701306,,0.15614282607362132,24.030706387966436,11.981838665353507,4.722567235701306,5255.0,1.0156125103164577,,,False
16,16 Cyg B b,16 Cyg B,HD 186427,HIP 96901,Gaia DR2 2135550755683407232,1,3,1,Radial Velocity,1996,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,,,,,,,,,,,,,,,,,565.7374,25.4264,-25.4264,0.0,1.78,0.08,-0.08,0.0,565.7374,25.4264,-25.4264,0.0,1.78,0.08,-0.08,0.0,Msini,0.68,0.02,-0.02,0.0,,,,,,,,,,,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0.0,0.06,,,0.0,[Fe/H],4.36,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,0.011,-0.0111,47.2754,0.0245316,-0.0245316,4.993,0.037,-0.037,4.695,0.036,-0.036,4.651,0.016,-0.016,,,,,,,,,,,,,,,,6.06428,0.0006029,-0.0006029,2018-09-04,2017-03,2018-09-06,11.685999576685305,3.002798054499643e-08,9.558203069606895e-09,,4.387715248502775,,0.0785252392418057,12.085197992861515,11.685999576685305,4.387715248502775,5750.0,,1.13,209.2477661078108,False
34,2MASS J01225093-2439505 b,2MASS J01225093-2439505,,,Gaia DR2 5040416186560252416,0,1,1,Imaging,2013,Published Confirmed,0,<a refstr=HINKLEY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...805L..10H/abstract target=ref>Hinkley et al. 2015</a>,,,,,,,,,11.209,,,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,100.0,-100.0,0.0,,,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3309.0,157.0,-157.0,0.0,0.37,0.01,-0.01,0.0,0.35,0.02,-0.02,0.0,,,,,,4.86,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,0.0864,-0.086,29.5326,0.0747585,-0.0747585,10.084,0.028,-0.028,9.47,0.023,-0.023,9.198,0.026,-0.026,,,,,,,,,,,,,,,,12.9025,0.001151,-0.001151,2015-09-02,2015-05,2015-09-03,,,,,6.211050074076476,,,,11.209,6.211050074076476,3309.0,,0.37,,False
43,30 Ari B b,30 Ari B,HD 16232,HIP 12184,Gaia DR2 102082477749475200,0,4,1,Radial Velocity,2009,Published Confirmed,0,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,335.1,2.5,-2.5,0.0,0.995,0.012,-0.012,0.0,,,,,,,,,,,,,,,,,3140.03,298.75,-298.75,0.0,9.88,0.94,-0.94,0.0,3140.03,298.75,-298.75,0.0,9.88,0.94,-0.94,0.0,Msini,0.289,0.092,-0.092,0.0,,,,,,,,,,,,,0.0,2454538.0,20.0,-20.0,0.0,307.0,18.0,-18.0,0.0,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,F6 V,6300.0,60.0,-60.0,0.0,1.13,0.03,-0.03,0.0,1.16,0.04,-0.04,0.0,0.245,0.195,-0.195,0.0,[Fe/H],4.5,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,0.1039,-0.1034,22.3641,0.0515806,-0.0515806,6.08,0.02,-0.02,5.908,0.029,-0.029,5.822,0.021,-0.021,,,,,,,,,,,,,,,,6.96085,0.000512,-0.000512,2018-04-25,2009-12,2014-05-14,11.66321504796224,8.325320748073855e-08,2.6500318997629398e-08,3.6,,,0.02228094139776519,3.429083322244521,11.66321504796224,3.6,6300.0,,1.13,296.1256579337695,False
48,47 UMa b,47 UMa,HD 95128,HIP 53721,Gaia DR2 777254360337133312,0,1,3,Radial Velocity,1996,Published Confirmed,0,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,1076.6,2.3,-2.3,0.0,2.1,0.022,-0.022,0.0,,,,,,,,,,,,,,,,,778.6835,31.783,-31.783,0.0,2.45,0.1,-0.1,0.0,778.6835,31.783,-31.783,0.0,2.45,0.1,-0.1,0.0,Msini,0.012,0.023,-0.023,0.0,,,,,,,,,,,,,0.0,2449222.0,347.0,-347.0,0.0,147.0,117.0,-117.0,0.0,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,G0 V,5882.0,44.0,-44.0,0.0,,,,,1.06,0.03,-0.03,0.0,0.04,0.03,-0.03,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,72.4528,0.150701,-0.150701,3.96,0.296,-0.296,3.736,0.224,-0.224,3.75,0.34,-0.34,,,,,,,,,,,,,,,,4.87837,0.0038294,-0.0038294,2016-01-27,2009-05,2016-01-28,11.843041635757615,1.927074444536226e-08,6.134068471080178e-09,4.0,,,0.1522103111613647,23.425484146259468,11.843041635757615,4.0,5882.0,1.1706994177271686,,,False
53,47 UMa c,47 UMa,HD 95128,HIP 53721,Gaia DR2 777254360337133312,1,1,3,Radial Velocity,2001,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,171.621,20.976,-23.201,0.0,0.54,0.066,-0.073,0.0,171.621,20.976,-23.201,0.0,0.54,0.066,-0.073,0.0,Msini,0.098,0.047,-0.096,0.0,,,,,,,,,,,,,0.0,2452441.0,628.0,-825.0,0.0,295.0,114.0,-160.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,72.4528,0.150701,-0.150701,3.96,0.296,-0.296,3.736,0.224,-0.224,3.75,0.34,-0.34,,,,,,,,,,,,,,,,4.87837,0.0038294,-0.0038294,2014-05-14,2010-04,2014-05-14,10.502257256332566,5.156688198891213e-09,1.6414248336743587e-09,,4.307808820097916,,0.2609319619909109,40.15797282215909,10.502257256332566,4.307808820097916,5872.0,,1.21,150.15344111289997,False
56,47 UMa d,47 UMa,HD 95128,HIP 53721,Gaia DR2 777254360337133312,1,1,3,Radial Velocity,2009,Published Confirmed,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,,,,,,,,,,,,,,,,,521.22,92.17,-152.55,0.0,1.64,0.29,-0.48,0.0,521.22,92.17,-152.55,0.0,1.64,0.29,-0.48,0.0,Msini,0.16,0.09,-0.16,0.0,,,,,,,,,,,,,0.0,2451736.0,6783.0,-5051.0,0.0,110.0,132.0,-160.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967,0.0289,-0.0289,72.4528,0.150701,-0.150701,3.96,0.296,-0.296,3.736,0.224,-0.224,3.75,0.34,-0.34,,,,,,,,,,,,,,,,4.87837,0.0038294,-0.0038294,2014-05-14,2010-04,2014-05-14,11.636695101124701,6.097529379862936e-10,1.940903882906491e-10,,4.307808820097916,,0.8407807664151572,129.39791242695705,11.636695101124701,4.307808820097916,5872.0,,1.21,83.64838207772402,False
66,55 Cnc b,55 Cnc,HD 75732,HIP 43587,Gaia DR2 704967037090946688,1,2,5,Radial Velocity,1996,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,14.6516,0.0001,-0.0001,0.0,0.1134,0.0006,-0.0006,0.0,,,,,,,,,,,,,,,,,255.4,2.9,-2.9,0.0,0.8036,0.0092,-0.0091,0.0,255.4,2.9,-2.9,0.0,0.8036,0.0092,-0.0091,0.0,Msini,0.0,0.01,-0.01,0.0,,,,,,,,,,,,,0.0,,,,,-21.5,56.9,-89.8,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11,11.023790791831317,5.725934630062313e-06,1.8226216003909605e-06,,4.780403787521168,,0.00901036907552342,1.386714581424472,11.023790791831317,4.780403787521168,5172.0,,0.94,656.7857530936736,False
86,55 Cnc d,55 Cnc,HD 75732,HIP 43587,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2002,Published Confirmed,0,<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1084W/abstract target=ref> Wright et al. 2009 </a>,5370.0,230.0,-230.0,0.0,5.84,0.39,-0.39,0.0,,,,,,,,,,,,,,,,,1220.42,184.33,-184.33,0.0,3.84,0.58,-0.58,0.0,1220.42,184.33,-184.33,0.0,3.84,0.58,-0.58,0.0,Msini,0.063,0.03,-0.03,0.0,,,,,,,,,,,,,0.0,2446860.0,230.0,-230.0,0.0,163.0,32.0,-32.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,123.3,-171.85,0.0,0.96,0.08,-0.05,0.0,0.9,0.14,-0.09,0.0,0.35,0.1,-0.1,0.0,[M/H],4.42,0.05,-0.14,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,2021-02-05,2009-03,2014-08-21,11.968293282119646,2.544774599245751e-09,8.100269130493166e-10,,4.726037524298795,,0.46402606173771405,71.41457809099573,11.968293282119646,4.726037524298795,5250.0,,0.96,93.88502023171428,False
96,55 Cnc e,55 Cnc,HD 75732,HIP 43587,Gaia DR2 704967037090946688,0,2,5,Radial Velocity,2004,Published Confirmed,0,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,0.737,,,0.0,,,,,1.897,0.044,-0.046,0.0,0.169,0.004,-0.004,0.0,7.74,0.37,-0.3,0.0,0.02435,0.00116,-0.00094,0.0,,,,,,,,,7.74,0.37,-0.3,0.0,0.02435,0.00116,-0.00094,0.0,Mass,,,,,,,,,,,,,,,,,0.0,,,,,,,,,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,,5172.0,18.0,-18.0,0.0,0.95,0.02,-0.02,0.0,0.87,0.05,-0.04,0.0,0.35,0.1,-0.1,0.0,[Fe/H],4.43,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,2021-02-05,2019-09,2019-08-29,,,,,4.780403787521168,,,,1.897,4.780403787521168,5172.0,,0.95,,False
